Timestamp	Quat_w	Quat_x	Quat_y	Quat_z	Timestamp	Acc_x	Acc_y	Acc_z	Timestamp	Gyro_x	Gyro_y	Gyro_z			Timestamp	Quat_w_n	Quat_x_n	Quat_y_n	Quat_z_n	Modulo Quat
0	10749	-43	-12360	366	0	2017	-43	-309	0	-14	-1	17			0	0.656053514	-0.002624458	-0.754379145	0.022338412	16384.33416
0.01	10748	-39	-12361	370	0.01	2003	-41	-305	0.01	33	7	18			0.01	0.655985345	-0.002380297	-0.754431973	0.022582302	16384.51238
0.02	10748	-38	-12361	369	0.02	2032	-25	-297	0.02	-15	5	13			0.02	0.655986342	-0.002319267	-0.754433119	0.022521303	16384.48748
0.03	10751	-36	-12358	370	0.03	2019	-14	-256	0.03	17	9	29			0.03	0.656180525	-0.002197237	-0.75426276	0.022582717	16384.21072
0.04	10754	-33	-12356	370	0.04	2026	-19	-260	0.04	15	7	18			0.04	0.656345438	-0.002014078	-0.754119791	0.022582092	16384.66481
0.05	10754	-33	-12355	369	0.05	2020	-25	-256	0.05	-1	-7	21			0.05	0.656376551	-0.002014174	-0.754094503	0.022522126	16383.88815
0.06	10755	-32	-12354	373	0.06	2017	-37	-279	0.06	25	4	28			0.06	0.65643795	-0.001953139	-0.754033885	0.022766281	16383.87909
0.07	10752	-33	-12356	375	0.07	2018	-56	-305	0.07	2	-7	22			0.07	0.656271395	-0.002014226	-0.754174977	0.02288893	16383.46587
0.08	10751	-33	-12357	378	0.08	2020	-52	-300	0.08	14	2	24			0.08	0.656203673	-0.002014205	-0.754228331	0.023071806	16383.63278
0.09	10751	-33	-12357	377	0.09	2020	-45	-296	0.09	8	10	15			0.09	0.656204595	-0.002014208	-0.754229391	0.023010802	16383.60974
0.1	10751	-32	-12357	376	0.1	2011	-26	-282	0.1	5	-5	15			0.1	0.656205595	-0.001953175	-0.754230541	0.0229498	16383.58477
0.11	10752	-30	-12357	376	0.11	2021	-18	-283	0.11	14	7	23			0.11	0.656240499	-0.001831028	-0.754200506	0.022948886	16384.23721
0.12	10751	-28	-12358	377	0.12	2020	-33	-290	0.12	7	-4	19			0.12	0.65617476	-0.001708947	-0.754256133	0.023009756	16384.35467
0.13	10751	-27	-12357	376	0.13	2021	-22	-278	0.13	7	-3	21			0.13	0.656205956	-0.001647992	-0.754230955	0.022949813	16383.57577
0.14	10750	-26	-12359	378	0.14	2020	-32	-303	0.14	16	1	25			0.14	0.656109006	-0.001586868	-0.75431174	0.023070624	16384.47256
0.15	10749	-27	-12359	380	0.15	2018	-50	-297	0.15	6	-1	23			0.15	0.656072326	-0.001647963	-0.754339742	0.023193551	16383.86435
0.16	10750	-27	-12359	381	0.16	2023	-43	-282	0.16	8	7	23			0.16	0.656106158	-0.001647895	-0.754308466	0.023253623	16384.54366
0.17	10751	-26	-12357	382	0.17	2034	-38	-275	0.17	9	6	19			0.17	0.656200462	-0.001586942	-0.75422464	0.023315838	16383.71295
0.18	10752	-25	-12356	382	0.18	2027	-34	-271	0.18	4	2	22			0.18	0.656265484	-0.001525915	-0.754168185	0.02331598	16383.61343
0.19	10753	-24	-12355	383	0.19	2018	-30	-271	0.19	12	1	22			0.19	0.656329565	-0.001464885	-0.754110646	0.023377125	16383.53744
0.2	10753	-23	-12356	384	0.2	2010	-40	-292	0.2	8	0	18			0.2	0.656298476	-0.001403782	-0.754135959	0.023437051	16384.31353
0.21	10751	-23	-12357	385	0.21	2021	-37	-298	0.21	9	-4	25			0.21	0.656197829	-0.001403828	-0.754221614	0.023498853	16383.77869
0.22	10751	-22	-12358	387	0.22	2027	-40	-297	0.22	12	4	21			0.22	0.65616579	-0.001342726	-0.754245822	0.023619771	16384.57866
0.23	10750	-22	-12358	388	0.23	2021	-37	-303	0.23	9	6	25			0.23	0.656130086	-0.001342778	-0.754274939	0.023681718	16383.94617
0.24	10750	-21	-12358	389	0.24	2011	-39	-284	0.24	8	-2	22			0.24	0.656129188	-0.001281741	-0.754273908	0.023742721	16383.96857
0.25	10750	-21	-12358	388	0.25	2019	-24	-278	0.25	13	2	10			0.25	0.656130138	-0.001281743	-0.754275	0.02368172	16383.94485
0.26	10749	-21	-12359	389	0.26	2029	-27	-293	0.26	9	1	32			0.26	0.656064221	-0.001281733	-0.754330422	0.023742579	16384.06677
0.27	10750	-19	-12358	390	0.27	2019	-28	-278	0.27	10	0	20			0.27	0.656128334	-0.001159669	-0.754272926	0.023803726	16383.9899
0.28	10751	-17	-12358	389	0.28	2025	-27	-280	0.28	9	4	20			0.28	0.656164131	-0.001037558	-0.754243916	0.023741777	16384.62007
0.29	10751	-18	-12357	391	0.29	2018	-40	-284	0.29	8	3	30			0.29	0.656192388	-0.001098639	-0.754215361	0.023864871	16383.91452
0.3	10751	-18	-12357	391	0.3	2025	-46	-283	0.3	13	4	12			0.3	0.656192388	-0.001098639	-0.754215361	0.023864871	16383.91452
0.31	10751	-17	-12357	392	0.31	2015	-35	-280	0.31	6	-1	23			0.31	0.656191474	-0.001037602	-0.75421431	0.023925873	16383.93735
0.32	10752	-16	-12357	392	0.32	2020	-24	-276	0.32	9	1	21			0.32	0.656226267	-0.000976527	-0.75418415	0.023924916	16384.59255
0.33	10750	-13	-12358	391	0.33	2022	-19	-301	0.33	12	1	17			0.33	0.656127614	-0.000793457	-0.754272098	0.023864735	16384.00787
0.34	10749	-13	-12359	392	0.34	2012	-35	-298	0.34	8	1	29			0.34	0.65606169	-0.000793451	-0.754327512	0.023925591	16384.12997
0.35	10749	-12	-12359	393	0.35	2020	-33	-294	0.35	12	5	20			0.35	0.656060761	-0.000732415	-0.754326444	0.023986592	16384.15317
0.36	10749	-12	-12359	395	0.36	2023	-47	-289	0.36	8	1	22			0.36	0.656058835	-0.000732413	-0.75432423	0.024108591	16384.20126
0.37	10750	-12	-12358	397	0.37	2030	-43	-275	0.37	8	1	25			0.37	0.656121867	-0.000732415	-0.754265491	0.024230733	16384.1514
0.38	10750	-12	-12358	396	0.38	2012	-45	-287	0.38	10	2	15			0.38	0.656122836	-0.000732416	-0.754266605	0.024169734	16384.1272
0.39	10749	-11	-12359	397	0.39	2022	-33	-288	0.39	8	-2	22			0.39	0.656056928	-0.000671377	-0.754322037	0.024230589	16384.2489
0.4	10749	-10	-12359	397	0.4	2018	-34	-290	0.4	7	3	19			0.4	0.656056954	-0.000610342	-0.754322066	0.02423059	16384.24826
0.41	10749	-8	-12359	397	0.41	2023	-29	-287	0.41	12	2	21			0.41	0.656056998	-0.000488274	-0.754322117	0.024230592	16384.24716
0.42	10749	-8	-12359	398	0.42	2017	-32	-291	0.42	7	1	25			0.42	0.656056026	-0.000488273	-0.754321	0.02429159	16384.27142
0.43	10750	-6	-12358	399	0.43	2015	-33	-274	0.43	12	4	19			0.43	0.656120053	-0.000366207	-0.754263406	0.024352735	16384.19668
0.44	10750	-6	-12358	400	0.44	2012	-36	-284	0.44	9	0	24			0.44	0.656119077	-0.000366206	-0.754262284	0.024413733	16384.22107
0.45	10750	-5	-12358	401	0.45	2026	-36	-290	0.45	8	1	19			0.45	0.656118111	-0.000305171	-0.754261174	0.024474731	16384.24518
0.46	10750	-3	-12358	401	0.46	2015	-29	-276	0.46	10	1	20			0.46	0.656118131	-0.000183103	-0.754261196	0.024474732	16384.24469
0.47	10749	-3	-12358	401	0.47	2023	-32	-292	0.47	8	-1	23			0.47	0.656083369	-0.00018311	-0.754291402	0.024475712	16383.58859
0.48	10750	-1	-12358	402	0.48	2017	-33	-286	0.48	11	3	19			0.48	0.656117159	-6.10342E-05	-0.754260079	0.02453573	16384.26895
0.49	10751	0	-12357	403	0.49	2019	-29	-275	0.49	9	2	24			0.49	0.656181139	0	-0.754202431	0.024596875	16384.1954
0.5	10751	1	-12357	403	0.5	2018	-38	-280	0.5	9	3	19			0.5	0.656181138	6.10344E-05	-0.754202429	0.024596875	16384.19543
0.51	10747	2	-12360	409	0.51	2027	-51	-299	0.51	32	-23	26			0.51	0.655945511	0.00012207	-0.754395321	0.024963405	16383.98285
0.52	10747	3	-12360	408	0.52	2014	-26	-299	0.52	-12	-1	6			0.52	0.655946503	0.000183106	-0.754396462	0.024902407	16383.95807
0.53	10743	9	-12363	409	0.53	2015	-31	-294	0.53	26	-21	4			0.53	0.655715677	0.000549329	-0.754594891	0.02496395	16383.62536
0.54	10747	11	-12361	394	0.54	2028	-55	-276	0.54	-50	19	-54			0.54	0.655929881	0.000671371	-0.754438379	0.024047304	16384.37326
0.55	10729	23	-12376	383	0.55	2001	41	-335	0.55	2	-105	-30			0.55	0.654860123	0.001403838	-0.755387163	0.023376962	16383.65146
0.56	10757	15	-12351	430	0.56	2003	-23	-212	0.56	177	175	230			0.56	0.656543046	0.00091551	-0.753831288	0.026244632	16384.3027
0.57	10742	29	-12364	431	0.57	2048	-156	-378	0.57	47	-64	-94			0.57	0.655627185	0.001769986	-0.754624326	0.026305652	16384.31146
0.58	10743	41	-12363	435	0.58	1997	60	-285	0.58	72	7	37			0.58	0.655686922	0.002502389	-0.7545618	0.026549736	16384.34387
0.59	10758	45	-12348	459	0.59	2026	-107	-253	0.59	114	103	48			0.59	0.656634658	0.002746659	-0.753683282	0.028015924	16383.53973
0.6	10761	55	-12346	447	0.6	2012	31	-303	0.6	-6	33	-27			0.6	0.656811288	0.003356995	-0.753553773	0.027283212	16383.70138
0.61	10763	54	-12344	461	0.61	2029	-73	-285	0.61	57	19	59			0.61	0.656925687	0.00329592	-0.7534229	0.028137391	16383.89276
0.62	10767	63	-12341	450	0.62	1999	16	-260	0.62	-6	22	-29			0.62	0.657166038	0.003845218	-0.753235448	0.027465842	16383.98727
0.63	10766	54	-12341	455	0.63	2019	-41	-271	0.63	-11	-7	78			0.63	0.65712711	0.003296012	-0.753260789	0.027771952	16383.43609
0.64	10763	35	-12345	443	0.64	2016	-32	-285	0.64	-120	-23	60			0.64	0.656917457	0.002136218	-0.753474496	0.027038412	16384.09802
0.65	10762	17	-12345	449	0.65	2023	-5	-280	0.65	-36	1	139			0.65	0.656877355	0.001037625	-0.753498509	0.027405495	16383.57589
0.66	10751	-29	-12355	454	0.66	2022	-86	-287	0.66	-147	-70	214			0.66	0.656187098	-0.001770014	-0.754087211	0.027709882	16384.0466
0.67	10757	-23	-12349	465	0.67	2034	-184	-259	0.67	59	32	-35			0.67	0.656564778	-0.001403829	-0.753734168	0.028381763	16383.76037
0.68	10760	69	-12349	402	0.68	1997	177	-150	0.68	88	-72	-489			0.68	0.656730563	0.004211376	-0.753714286	0.024535844	16384.19256
0.69	10750	46	-12358	407	0.69	2029	60	-521	0.69	-49	59	186			0.69	0.656109631	0.002807539	-0.754251426	0.024840616	16384.45693
0.7	10762	21	-12346	432	0.7	2047	-194	-119	0.7	1	12	137			0.7	0.656865284	0.001281748	-0.753545697	0.026367385	16383.87698
