Timestamp	Quat_w	Quat_x	Quat_y	Quat_z	Acc_x	Acc_y	Acc_z	Gyro_x	Gyro_y	Gyro_z
0	10760	-473	-12346	3	2034	-78	-283	8	2	20
0.01	10757	-472	-12349	4	2021	-49	-316	8	-6	16
0.02	10758	-474	-12348	7	2025	-66	-290	7	11	29
0.03	10758	-474	-12349	7	2036	-58	-298	11	-7	15
0.04	10758	-475	-12348	9	2024	-59	-284	7	6	22
0.05	10758	-476	-12348	12	2026	-69	-289	8	2	22
0.06	10758	-476	-12348	13	2031	-49	-286	8	-3	20
0.07	10759	-481	-12347	21	2023	-77	-300	12	21	54
0.08	10756	-479	-12350	23	2023	-69	-290	16	-23	5
0.09	10758	-481	-12348	25	2025	-60	-304	5	24	33
0.1	10763	-484	-12344	25	2024	-81	-267	-10	29	10
0.11	10759	-478	-12347	19	2019	-37	-303	-2	-16	-22
0.12	10763	-482	-12343	23	2024	-62	-280	3	33	45
0.13	10760	-481	-12346	23	2022	-60	-291	9	-20	6
0.14	10766	-484	-12341	22	2030	-51	-280	-12	41	29
0.15	10765	-484	-12341	22	2028	-75	-295	-8	13	13
0.16	10770	-485	-12337	18	2024	-55	-270	-20	30	7
0.17	10769	-486	-12338	21	2030	-62	-278	12	-10	24
0.18	10769	-486	-12338	21	2023	-59	-295	0	10	17
0.19	10770	-489	-12337	24	2020	-67	-287	3	13	32
0.2	10770	-489	-12337	24	2027	-57	-297	11	-12	9
0.21	10766	-488	-12340	28	2022	-55	-294	22	-17	32
0.22	10764	-489	-12342	32	2026	-58	-295	14	-7	34
0.23	10762	-490	-12344	36	2032	-61	-301	15	-6	29
0.24	10762	-490	-12344	36	2022	-67	-299	5	4	13
0.25	10762	-489	-12344	35	2029	-56	-304	6	3	7
0.26	10762	-489	-12344	37	2024	-63	-283	8	2	20
0.27	10759	-488	-12346	38	2026	-49	-293	13	-14	20
0.28	10759	-490	-12346	44	2024	-72	-279	17	-4	36
0.29	10759	-489	-12347	43	2023	-55	-304	15	-11	12
0.3	10747	-492	-12357	60	2034	-91	-330	61	-68	71
0.31	10751	-486	-12354	59	2023	-41	-273	18	20	1
0.32	10750	-486	-12354	58	2023	-42	-303	-2	13	11
0.33	10745	-489	-12358	64	2031	-88	-307	14	-26	38
0.34	10749	-484	-12355	63	2019	-32	-262	18	14	6
0.35	10748	-485	-12356	65	2027	-68	-317	9	7	26
0.36	10745	-485	-12359	65	2016	-58	-303	-3	-12	19
0.37	10745	-483	-12359	68	2019	-50	-292	26	4	24
0.38	10747	-483	-12357	67	2017	-60	-291	-2	17	14
0.39	10744	-484	-12360	70	2024	-66	-295	10	-21	29
0.4	10746	-483	-12358	70	2021	-48	-291	5	16	19
0.41	10744	-482	-12360	72	2031	-66	-310	18	-3	17
0.42	10743	-484	-12361	73	2020	-67	-300	-3	-1	25
0.43	10744	-482	-12360	75	2022	-59	-284	14	2	20
0.44	10744	-482	-12360	76	2033	-60	-294	9	5	20
0.45	10744	-482	-12360	78	2023	-60	-285	7	-5	27
0.46	10743	-482	-12361	77	2023	-53	-301	9	4	14
0.47	10744	-482	-12360	78	2026	-60	-296	8	6	24
0.48	10741	-482	-12363	80	2027	-65	-321	11	-4	21
0.49	10742	-481	-12362	81	2020	-56	-285	7	5	22
0.5	10741	-481	-12362	83	2028	-64	-297	11	2	20
0.51	10741	-481	-12363	83	2025	-59	-300	6	-1	20
0.52	10740	-480	-12363	85	2032	-61	-302	11	1	23
0.53	10739	-480	-12364	85	2031	-60	-308	4	5	16
0.54	10738	-480	-12365	88	2019	-68	-302	11	-4	27
0.55	10739	-480	-12364	88	2024	-65	-291	7	6	16
0.56	10738	-479	-12365	90	2028	-58	-296	9	0	23
0.57	10738	-479	-12365	90	2016	-62	-298	8	1	18
